cg00000734,CNBP
cg12298996,LPP
cg12299213,AKT2
cg12300382,IKZF1
cg12302912,RAF1
cg12306086,TET2
cg12307314,ARHGAP26
cg12311057,CXCR4
cg12311930,RANBP2
cg12315363,TAF15
cg12322373,KLF6
cg12322877,ASPSCR1
cg12324353,TERT
cg12325286,MSI2
cg12331743,NFKB2
cg12336574,CDC73
cg12338097,ZNF521
cg12344605,MAP2K4
cg12345672,SND1
cg12345955,BCL11A
cg12349350,CUX1
cg12356743,GATA2
cg12359697,BCL6
cg12360110,BCOR
cg12362629,MYH9
cg12366597,LRIG3
cg12370174,MAML2
cg12371169,RAP1GDS1
cg12371914,SND1
cg12372477,GNAS
cg12374579,ASPSCR1
cg12376271,MAML2
cg12382902,CCND2
cg12384236,TMPRSS2
cg12388583,PTPRB
cg12390585,PTPRC
cg12394168,PRDM16
cg12403778,ETV6
cg12405139,GATA3
cg12405599,RPN1
cg12406417,BCR
cg12407421,PAX7
cg12407784,ALK
cg12408250,PRDM16
cg12411068,SMARCA4
cg12413918,ERBB2
cg12416929,FOXO3
cg12417308,FUBP1
cg12419522,TGFBR2
cg12424230,CDK6
cg12424509,CDK12
cg12429455,XPO1
cg12430029,MSI2
cg12431087,FOXP1
cg12432846,BCL10
cg12436196,PRDM16
cg12438413,RARA
cg12440549,CDX2
cg12441066,MSI2
cg12441214,PRDM16
cg12441997,MITF
cg12444684,JAK1
cg12446644,LASP1
cg12451177,MAPK1
cg12452608,FHIT
cg12453500,FOXO4
cg12456090,SS18
cg12456269,LRP1B
cg12459280,RUNX1
cg12459502,BCL2
cg12459603,LPP
cg12461368,BCL2
cg12466700,MITF
cg12473797,PRDM16
cg12474881,MYH9
cg12477119,CDK12
cg12477288,MYB
cg12477880,RUNX1
cg12482375,CLTC
cg12484370,NFIB
cg12485219,EPAS1
cg12494208,CLTC
cg12499119,MAFB
cg12503846,PDGFB
cg12504957,MDM2
cg12507125,WWTR1
cg12509268,NCOR2
cg12513747,MECOM
cg12515638,SFRP4
cg12517050,UBR5
cg12524865,CUX1
cg12526471,ZBTB16
cg12526849,EPS15
cg12527998,TRRAP
cg12530050,TBX3
cg12534150,APC
cg12535744,MAML2
cg12536292,POLE
cg12537379,CUX1
cg12537665,COL1A1
cg12541591,TGFBR2
cg12548629,CDK6
cg12548760,TET1
cg12550203,BCL7A
cg12566821,NOTCH1
cg12569217,RANBP2
cg12570716,KLF6
cg12571687,HSP90AB1
cg12578250,PRDM16
cg12587766,LIFR
cg12589433,AR
cg12592359,ASXL1
cg12593511,PRDM16
cg12594237,CCND2
cg12594800,ELF4
cg12594911,PDE4DIP
cg12595667,CXCR4
cg12596040,PAX7
cg12599275,PRDM16
cg12599390,HOXC11
cg12600174,HOXA9
cg12601118,GAS7
cg12601142,KDM5A
cg12601400,TAF15
cg12601945,PAX7
cg12602374,LIFR
cg12604794,CASP8
cg12608132,EPAS1
cg12608643,CAMTA1
cg12608682,BCL9
cg12609948,CAMTA1
cg12612118,IRF4
cg12614213,FGFR1
cg12615100,SFPQ
cg12617598,CDC73
cg12623364,LEF1
cg12629991,PBX1
cg12630038,CRTC3
cg12630147,TET1
cg12631085,ROS1
cg12633998,PDE4DIP
cg12635191,PRDM16
cg12635919,PRDM16
cg12637205,CYLD
cg12637615,TCF12
cg12638776,SLC45A3
cg12639574,ABL2
cg12641165,PRDM16
cg12642006,SOCS1
cg12642651,GAS7
cg12644588,CAMTA1
cg12647643,PTPN13
cg12647821,NFE2L2
cg12648523,ERBB2
cg12648893,RNF213
cg12650490,LYL1
cg12657043,BCL7A
cg12659287,TRRAP
cg12660800,BCL10
cg12660813,PRDM16
cg12661316,CAMTA1
cg12663253,PIK3R1
cg12664806,FOXO3
cg12668309,CACNA1D
cg12679192,PREX2
cg12679308,CUX1
cg12684209,IRF4
cg12685731,BCL11A
cg12688542,NCOR2
cg12689375,DDX3X
cg12691198,CYLD
cg12693595,STAT6
cg12694058,PRDM16
cg12695685,LMO2
cg12697325,GAS7
cg12701112,BCL6
cg12701603,PRDM16
cg12701942,PBX1
cg12708852,NF1
cg12710152,LCK
cg12710376,NTRK3
cg12710648,CAMTA1
cg12712768,HNF1A
cg12724384,NCOA2
cg12727358,CACNA1D
cg12727605,DAXX
cg12727795,PDGFRB
cg12737514,BCOR
cg12737801,TCEA1
cg12740180,CAMTA1
cg12740757,ALK
cg12741420,IRF4
cg12743416,TRIM24
cg12750675,BRAF
cg12750884,MTOR
cg12751042,CDKN1B
cg12751456,PAX7
cg12753606,MYB
cg12753787,PRDM16
cg12760110,ETV6
cg12763813,FGFR2
cg12768767,STIL
cg12768993,DDX10
cg12770844,FAT1
cg12775788,BCOR
cg12776822,HSP90AA1
cg12776999,CLTC
cg12780124,TCF3
cg12781568,WT1
cg12781778,ARID1B
cg12783346,FBXO11
cg12784625,EPAS1
cg12785082,CUX1
cg12785251,DAXX
cg12789068,AKT1
cg12794432,DDX10
cg12796085,CCNB1IP1
cg12798992,FGFR1OP
cg12800122,PRDM16
cg12801619,FOXO3
cg12801715,PBX1
cg12802921,MAPK1
cg12804677,PRDM16
cg12807924,SRC
cg12812165,NIN
cg12813151,TRRAP
cg12818493,U2AF1
cg12819548,ARHGEF12
cg12823408,ARHGEF12
cg12825470,ATR
cg12825880,CCND1
cg12828819,FAT4
cg12829360,CBFA2T3
cg12832355,DAXX
cg12833720,BCL3
cg12833931,GAS7
cg12835048,FGFR2
cg12836863,BRCA2
cg12840719,CDKN2A
cg12845923,PDGFRA
cg12847986,MECOM
cg12850379,TCEA1
cg12851792,ARHGEF12
cg12855247,TRRAP
cg12857702,ATRX
cg12858650,RBM10
cg12858701,TCF7L2
cg12859469,BRAF
cg12863621,NRG1
cg12864541,HOOK3
cg12867312,BRAF
cg12868970,TP63
cg12872311,MN1
cg12873707,TCF3
cg12873903,STAT3
cg12876620,FAT1
cg12884169,ERG
cg12885832,SH2B3
cg12896170,TRIM27
cg12901650,WHSC1
cg12902062,MAFB
cg12905252,PRDM16
cg12912293,ARNT
cg12923297,DAXX
cg12926720,TGFBR2
cg12937034,DDX6
cg12940557,SF3B1
cg12940747,FLI1
cg12941675,CLIP1
cg12942328,BCL6
cg12952736,SND1
cg12953669,BCL2
cg12954718,USP6
cg12957407,JAK3
cg12958020,PDGFRB
cg12961080,BCL11B
cg12962542,MECOM
cg12964047,LMO2
cg12967293,RPL22
cg12967395,PPFIBP1
cg12968518,ACVR2A
cg12968540,EP300
cg12972447,BCL11A
cg12976501,ALK
cg12977696,YWHAE
cg12982322,WT1
cg12982374,FGFR4
cg12983285,PTK6
cg12989020,ARID1B
cg12989344,HRAS
cg12989745,TRIM27
cg12990174,KRAS
cg12994233,CCND1
cg12997579,FGFR3
cg13000374,SS18L1
cg13002939,PDGFRA
cg13003513,CARD11
cg13006681,EBF1
cg13008538,CARD11
cg13013975,TRRAP
cg13016411,SETBP1
cg13016916,CREB3L2
cg13019512,NPM1
cg13021015,MECOM
cg13022174,SS18
cg13023397,ABI1
cg13026729,EZR
cg13030031,ATF1
cg13030332,TBX3
cg13030790,RUNX1
cg13033086,TCF12
cg13042808,SMAD3
cg13046003,PAFAH1B2
cg13048008,NUMA1
cg13048209,TBL1XR1
cg13048808,MAP2K4
cg13052876,SRC
cg13054975,ELK4
cg13059373,DAXX
cg13060704,TRIM27
cg13066658,WT1
cg13071326,HIP1
cg13072186,TBL1XR1
cg13076732,SMAD3
cg13076778,DNMT3A
cg13079047,ATP1A1
cg13079837,ERC1
cg13080151,CCND2
cg13080172,BCL11B
cg13083810,POU5F1
cg13084345,CSF3R
cg13085553,POLE
cg13085893,KRAS
cg13087441,PRDM16
cg13093380,ALK
cg13097088,CAMTA1
cg13104257,PRDM16
cg13104508,ARID1B
cg13106306,CARD11
cg13109397,CASP8
cg13110966,TRIM27
cg13112524,WHSC1
cg13113656,CLTC
cg13113748,BCOR
cg13116789,SH2B3
cg13117031,PTPRB
cg13121732,AKT1
cg13122390,SMARCB1
cg13122496,AR
cg13123927,PHOX2B
cg13123964,FGFR1
cg13127920,NCOR2
cg13129833,PDE4DIP
cg13131329,FGFR3
cg13131339,ERBB2
cg13132650,BTG1
cg13135577,RNF213
cg13136596,MSI2
cg13137381,XPO1
cg13137891,BCL11A
cg13138552,HMGA2
cg13142612,U2AF1
cg13146040,NCOR2
cg13147822,MECOM
cg13148824,DDIT3
cg13151171,MITF
cg13152158,PRDM16
cg13154908,PIK3CA
cg13165992,TCF12
cg13168820,PTPRT
cg13175786,PRDM16
cg13175830,FGFR2
cg13177747,RSPO2
cg13182412,H3F3B
cg13188011,MAFB
cg13188812,TPM3
cg13190879,MN1
cg13193848,MAP2K1
cg13195164,MAP2K1
cg13195895,BCL9
cg13200933,GPHN
cg13202213,CAMTA1
cg13206028,TCF7L2
cg13207345,PAX7
cg13209113,PRDM16
cg13214892,PLCG1
cg13215387,NT5C2
cg13220457,MYB
cg13221796,RB1
cg13225881,DDX10
cg13226597,RAC1
cg13227624,SUFU
cg13231951,GNAS
cg13235992,PRCC
cg13240253,FOXP1
cg13241473,TFEB
cg13241740,TCF7L2
cg13242468,PRDM16
cg13243219,MECOM
cg13243311,USP6
cg13244804,MYC
cg13246007,PCM1
cg13246583,SALL4
cg13250388,PDGFB
cg13251373,IKBKB
cg13257371,MSI2
cg13259118,HIF1A
cg13263104,NF1
cg13263114,ERBB2
cg13263472,HSP90AA1
cg13263778,HMGA1
cg13264800,MITF
cg13271751,CCND1
cg13272412,NRG1
cg13273540,TBL1XR1
cg13274727,ZRSR2
cg13274938,RARA
cg13275129,MAML2
cg13278539,FGFR1
cg13282252,LPP
cg13282837,TCL1A
cg13284983,PER1
cg13287763,ACVR1
cg13289884,CDKN1B
cg13291283,GAS7
cg13294487,SND1
cg13295238,EBF1
cg13296436,RARA
cg13299984,PRDM16
cg13301003,WT1
cg13307200,BCOR
cg13310971,CREB3L2
cg13312403,NCOA2
cg13323097,SLC45A3
cg13324128,TOP1
cg13330524,COL2A1
cg13330671,HSP90AB1
cg13331691,SMAD3
cg13335567,NCOA2
cg13344237,DNMT3A
cg13344867,NFE2L2
cg13349421,SMARCD1
cg13350140,RET
cg13351352,AKT2
cg13353325,GNAS
cg13353337,LZTR1
cg13353679,AFF3
cg13356540,CAMTA1
cg13356884,RBM15
cg13357178,ETV4
cg13357341,ARNT
cg13357821,CUX1
cg13361307,AFF3
cg13361747,ZBTB16
cg13362033,CAMTA1
cg13362313,CRTC1
cg13362637,CD74
cg13365781,TET2
cg13366849,DNM2
cg13368186,FGFR1OP
cg13380622,FCRL4
cg13383639,EBF1
cg13386712,ARNT
cg13388191,PRDM16
cg13389575,RB1
cg13390385,CAMTA1
cg13390570,TERT
cg13391820,CCND2
cg13392571,PRDM16
cg13393612,CUX1
cg13393721,MPL
cg13393782,PRDM16
cg13393914,AFF4
cg13394473,PAX5
cg13397738,DDX10
cg13400176,MYB
cg13400306,SFRP4
cg13404421,CCND2
cg13409449,GATA3
cg13411554,CACNA1D
cg13412395,NR4A3
cg13414750,CACNA1D
cg13415390,NOTCH1
cg13416283,HSP90AA1
cg13416396,NCOR2
cg13419087,NCOR2
cg13419702,VHL
cg13420662,JAK1
cg13422136,SETBP1
cg13425677,MAP3K1
cg13427179,PRDM16
cg13428213,PTCH1
cg13430094,HIP1
cg13430118,JAK2
cg13431205,RB1
cg13433366,PER1
cg13433729,EZR
cg13434489,PRDM16
cg13435326,PIK3CA
cg13439703,MLLT3
cg13440206,ABL1
cg13440296,TET2
cg13442299,GATA2
cg13442495,KRAS
cg13442606,CARS
cg13443893,DAXX
cg13445258,RPN1
cg13449354,TERT
cg13449356,ABL1
cg13451153,BCL11B
cg13453424,PTCH1
cg13454226,KLF6
cg13454542,FAT1
cg13456138,FAS
cg13456470,PTCH1
cg13457790,TCF3
cg13460934,PRDM16
cg13461049,PTCH1
cg13462843,PAX5
cg13463847,NOTCH1
cg13464745,CCND3
cg13465826,NCOR1
cg13466180,CALR
cg13467399,ABL1
cg13468400,TP53
cg13468680,NOTCH1
cg13469600,PAX7
cg13471756,CREB3L2
cg13474877,CD274
cg13476635,FLI1
cg13476932,RPL22
cg13479148,PRDM16
cg13479780,CCND3
cg13480493,NR4A3
cg13482308,PAX5
cg13482356,FAM46C
cg13483882,GATA2
cg13483916,BCL6
cg13485756,RB1
cg13489049,TMPRSS2
cg13489987,GPHN
cg13491304,JAK2
cg13495369,PAX3
cg13495532,HSP90AB1
cg13495838,BRD3
cg13496511,ETV6
cg13500074,BCL11A
cg13500194,FAT1
cg13500388,CBFB
cg13504215,TGFBR2
cg13509765,ABL1
cg13516541,AKT1
cg13518031,TP63
cg13518270,SALL4
cg13518604,NFIB
cg13518792,PPARG
cg13520525,PTK6
cg13521170,BCL2
cg13521940,RUNX1
cg13522114,MLLT1
cg13523819,MITF
cg13524180,ETV1
cg13524873,NT5C2
cg13525276,TSHR
cg13527233,GNA11
cg13529101,CUX1
cg13529513,PAX5
cg13531502,JAK2
cg13532571,KRAS
cg13536107,FBXW7
cg13537499,NOTCH1
cg13540960,WT1
cg13541615,ASPSCR1
cg13542461,LMO1
cg13542817,NFKB2
cg13545763,SPOP
cg13547889,NOTCH1
cg13550751,ABL2
cg13552710,ALK
cg13552866,ZRSR2
cg13554901,COL2A1
cg13555543,MAX
cg13558403,NKX2-1
cg13558695,DNMT3A
cg13558899,MSI2
cg13563132,PTCH1
cg13564588,POU5F1
cg13565575,COL2A1
cg13565585,AFF4
cg13566908,FOXO4
cg13567541,SMO
cg13568515,JAK2
cg13569417,STAG2
cg13572539,FGFR3
cg13575161,CCND2
cg13576061,IL6ST
cg13578020,RAD21
cg13581922,NCOR2
cg13582950,POU2AF1
cg13590558,CDK6
cg13593436,NOTCH1
cg13596520,MEN1
cg13598111,EGFR
cg13600489,NKX2-1
cg13601799,CDKN2A
cg13602547,ARID1B
cg13605646,GNAS
cg13608094,CCND1
cg13609937,ABL1
cg13610138,LRIG3
cg13611989,ABL1
cg13611997,SDHA
cg13612317,KIF5B
cg13612515,TRIM27
cg13612689,ESR1
cg13613245,NOTCH1
cg13615338,PDGFRA
cg13618529,NRG1
cg13618596,CCND2
cg13618979,TPM4
cg13621212,MLLT3
cg13623638,SETBP1
cg13624041,MLLT3
cg13625187,PPFIBP1
cg13627141,BCORL1
cg13629201,JAK2
cg13629486,BRD3
cg13636189,NR4A3
cg13636907,MITF
cg13638420,WT1
cg13638703,MYH9
cg13639936,NR4A3
cg13641903,WT1
cg13642545,BCL3
cg13643874,FLT4
cg13645902,DDX6
cg13646020,PHOX2B
cg13646645,TRIM27
cg13648373,IL6ST
cg13648682,BRD3
cg13652336,PREX2
cg13652795,BCOR
cg13654836,MSI2
cg13655635,NR4A3
cg13655938,STAT3
cg13656738,SMARCA4
cg13658542,FAT1
cg13659914,NOTCH1
cg13661497,JAK2
cg13661623,ZNF384
cg13666703,NR4A3
cg13669985,NOTCH1
cg13670057,ABL1
cg13671128,TCF3
cg13671831,NF2
cg13672525,MDM4
cg13672843,VHL
cg13672863,ABL1
cg13673094,PTPRC
cg13675835,PAX5
cg13680388,GNAS
cg13681367,ELF4
cg13681847,EPAS1
cg13682044,ETV4
cg13682437,DNAJB1
cg13683040,PAX5
cg13685139,MITF
cg13685746,TCF3
cg13687594,CAMTA1
cg13689309,PRDM16
cg13692649,PRDM16
cg13695362,PAX5
cg13695877,QKI
cg13697207,NCOR2
cg13700197,PTCH1
cg13700589,PSIP1
cg13700897,RSPO2
cg13701327,USP6
cg13701509,NPM1
cg13701768,PAX5
cg13702357,HIP1
cg13703021,RAF1
cg13703070,NR4A3
cg13707729,FGFR2
cg13709449,PTCH1
cg13712197,NCOR2
cg13717333,BCL7A
cg13718870,BRD3
cg13720316,CCND1
cg13724285,SMARCA4
cg13724379,BCL6
cg13724812,TGFBR2
cg13725899,NOTCH1
cg13726313,FOXP1
cg13727626,PAX5
cg13728115,BCOR
cg13728951,WHSC1
cg13732216,SUFU
cg13734061,FGFR2
cg13738729,PAX5
cg13740187,TPM3
cg13741211,TRRAP
cg13742182,FAT4
cg13743387,FIP1L1
cg13743393,RB1
cg13744917,PRDM16
cg13745346,CBFA2T3
cg13745692,FHIT
cg13751213,EZH2
cg13751548,PAX5
cg13753209,CLTC
cg13754720,PTCH1
cg13755070,FLI1
cg13755144,SLC34A2
cg13756898,SMAD3
cg13757263,CACNA1D
cg13758054,BRD3
cg13759676,PTPRK
cg13759852,PER1
cg13762471,JAK2
cg13762676,TRRAP
cg13770982,NR4A3
cg13773148,BRD3
cg13773705,NTRK3
cg13773741,GAS7
cg13774019,PAX5
cg13774825,AKT1
cg13781678,PRDM16
cg13781843,PTPN13
cg13782816,BRCA1
cg13782919,SYK
cg13782932,DDX6
cg13784466,FAT1
cg13788829,RET
cg13788918,CDK6
cg13789303,FOXO3
cg13789673,PRDM16
cg13790810,MSI2
cg13791589,SLC45A3
cg13795805,BCL11B
cg13796392,NR4A3
cg13797425,HSP90AA1
cg13798431,NOTCH1
cg13800721,PRDM16
cg13801381,CCND2
cg13803503,CAMTA1
cg13803765,ABL1
cg13804478,MUC1
cg13808674,GATA2
cg13810225,MYH9
cg13810683,TET1
cg13821173,TRRAP
cg13822231,ABL1
cg13822691,MSN
cg13826470,DAXX
cg13827677,SET
cg13828701,DNMT3A
cg13829104,TBX3
cg13830163,SET
cg13832670,CREB3L2
cg13844474,NFATC2
cg13845133,PBX1
cg13847987,ABL1
cg13848707,TET1
cg13849552,SETBP1
cg13851641,DAXX
cg13851956,RET
cg13854423,PRDM16
cg13854983,CXCR4
cg13855243,HOXC11
cg13856295,NOTCH1
cg13857025,NCOR2
cg13858687,RPL5
cg13858944,PRDM16
cg13859541,TGFBR2
cg13859860,NCOA4
cg13861904,NOTCH1
cg13866134,CAMTA1
cg13867039,PRDM16
cg13867915,ARID1A
cg13869600,RET
cg13872712,JAK2
cg13873655,CAMTA1
cg13875033,PRDM16
cg13876222,NOTCH1
cg13879875,PDGFB
cg13880034,GNAQ
cg13880081,BRD3
cg13883590,WHSC1
cg13883904,FIP1L1
cg13886725,PSIP1
cg13887933,PAX5
cg13894163,BRD3
cg13894301,KLF4
cg13895966,GNAS
cg13896879,ARNT
cg13897882,SYK
cg13903756,POT1
cg13903917,NCOR2
cg13907655,PRDM16
cg13908299,NCOR2
cg13909730,CDK6
cg13910860,PAX5
cg13912748,NPM1
cg13916877,MSI2
cg13917099,SND1
cg13920364,ZBTB16
cg13920367,CDH1
cg13921652,PDE4DIP
cg13924604,TERT
cg13926796,CUX1
cg13927040,FGFR1OP
cg13927251,FLT4
cg13927605,ABL2
cg13928146,PTCH1
cg13929917,BCOR
cg13930596,TBX3
cg13932995,KDSR
cg13935558,TRIM24
cg13938702,ABL1
cg13940923,TRRAP
cg13941987,BCORL1
cg13943333,AFF1
cg13943355,SMAD3
cg13943560,BCOR
cg13944870,CSF3R
cg13947995,FES
cg13951797,TRAF7
cg13951862,NOTCH1
cg13952769,NUP214
cg13955851,TRRAP
cg13959831,PAX5
cg13960192,GNA11
cg13964393,B2M
cg13969001,PAX7
cg13969327,SND1
cg13971154,SMO
cg13974838,PTCH1
cg13977427,TRIM27
cg13977827,NFIB
cg13978367,TPM4
cg13980079,WHSC1
cg13980454,NKX2-1
cg13982220,NCOR2
cg13983181,PRDM16
cg13984103,CCNB1IP1
cg13986355,AKT1
cg13987489,BCL11B
cg13991233,GAS7
cg13993877,PRDM16
cg13994196,ROS1
cg13995918,TERT
cg13996750,NOTCH1
cg13997788,EPAS1
cg13998395,TRRAP
cg13999099,IL6ST
cg14000104,PTCH1
cg14000467,CALR
cg14002714,KTN1
cg14003693,NFIB
cg14004678,CANT1
cg14005120,SYK
cg14005139,NKX2-1
cg14006005,PICALM
cg14006376,STAT5B
cg14008571,PRDM16
cg14009312,STK11
cg14010720,PTK6
cg14012925,CUX1
cg14013053,AFF3
cg14015726,MKL1
cg14016620,GNAQ
cg14018153,PRDM16
cg14018363,HLA-A
cg14022645,TFE3
cg14029001,CCND3
cg14030836,PRDM16
cg14031054,PBX1
cg14031846,NCOR2
cg14031925,NIN
cg14032529,TCF7L2
cg14037088,SMAD4
cg14037250,BRD3
cg14038259,RNF213
cg14039952,NPM1
cg14039968,PDGFRA
cg14039999,FOXP1
cg14040358,SH3GL1
cg14040532,BRD3
cg14042099,ZBTB16
cg14044167,NDRG1
cg14048463,SMARCA4
cg14048487,BRCA1
cg14049615,AFF1
cg14050782,BRD3
cg14051336,PDGFRB
cg14054883,SYK
cg14055153,LRP1B
cg14055374,MAF
cg14055502,SYK
cg14057383,AFF3
cg14059339,TRIM27
cg14061423,ATRX
cg14061491,GNAQ
cg14061503,TSC1
cg14062067,STAT6
cg14065008,PTPRK
cg14065153,RARA
cg14065526,NOTCH1
cg14070647,RSPO2
cg14072126,FBXO11
cg14078335,NUMA1
cg14079173,DEK
cg14079656,MLLT4
cg14083421,CAMTA1
cg14084456,MDM4
cg14084826,SLC45A3
cg14088584,PTPRK
cg14089007,HIP1
cg14089474,CBLC
cg14090920,QKI
cg14091103,LPP
cg14091497,NOTCH1
cg14091595,CBLB
cg14091954,FLT3
cg14094063,BRAF
cg14094646,PAX5
cg14094960,EGFR
cg14097046,SET
cg14099017,MAP2K4
cg14099718,PAX5
cg14100227,PSIP1
cg14100946,CDK6
cg14101604,ZNF384
cg14101638,HNF1A
cg14102055,ABL1
cg14102676,MAFB
cg14104369,GNAS
cg14106719,GNAQ
cg14107975,MAML2
cg14109847,MSI2
cg14111132,ATP2B3
cg14111697,GNAQ
cg14114284,NOTCH1
cg14114535,MLLT3
cg14116222,ASPSCR1
cg14119680,ABL1
cg14120703,NOTCH1
cg14123135,MSN
cg14127336,TCL1A
cg14129040,CREB1
cg14133064,PDCD1LG2
cg14133339,CNOT3
cg14138611,PTPRB
cg14142977,ABL1
cg14146378,ARID1B
cg14146966,XPO1
cg14147855,FHIT
cg14149552,GNAQ
cg14150354,BCL11B
cg14150378,GNAQ
cg14151288,AFF3
cg14152798,PTCH1
cg14155397,MAP2K1
cg14157073,CAMTA1
cg14157824,ACSL3
cg14158601,PER1
cg14160518,SALL4
cg14160599,PDE4DIP
cg14162806,PDGFB
cg14163665,ALK
cg14168009,CARD11
cg14168545,FOXO1
cg14169801,ATP1A1
cg14169886,PRDM16
cg14170181,JAK2
cg14171460,PRDM16
cg14174912,KLF6
cg14175304,RNF213
cg14176347,NUP214
cg14177084,HIP1
cg14177865,LPP
cg14178775,NOTCH1
cg14184369,STRN
cg14184729,AKT1
cg14185801,NCOR2
cg14185918,KLF4
cg14185957,SET
cg14189391,DNMT3A
cg14191360,MET
cg14196011,CLTC
cg14198877,IKBKB
cg14199150,BRD3
cg14199261,CDK6
cg14199833,DAXX
cg14200569,PRDM16
cg14203179,GNAS
cg14203252,BCL3
cg14203426,CUX1
cg14205001,NOTCH1
cg14205952,ABL1
cg14207794,LASP1
cg14208013,GNAS
cg14209344,AFF1
cg14209372,RBM15
cg14211075,TSC1
cg14215077,SRC
cg14216672,PRDM16
cg14216940,IKZF1
cg14217558,PRDM16
cg14217861,NOTCH1
cg14219896,NCOR2
cg14221142,SETD2
cg14222879,NCOA2
cg14225168,NOTCH1
cg14228238,MECOM
cg14231471,GPHN
cg14232793,NCOA2
cg14233720,BCL11B
cg14235271,GNAS
cg14235568,H3F3B
cg14235676,PRKAR1A
cg14236524,BCL11A
cg14237317,CREB1
cg14240223,NOTCH1
cg14241609,KCNJ5
cg14243496,PSIP1
cg14245135,SPOP
cg14246617,MITF
cg14248188,PTCH1
cg14249877,KIF5B
cg14252148,BRD3
cg14252169,PHF6
cg14256268,NCOR2
cg14259282,EZR
cg14260485,AKT2
cg14261068,BCOR
cg14263118,GNAS
cg14266611,MLLT3
cg14267095,PAX5
cg14267725,AFF3
cg14267811,TSC1
cg14268436,CARS
cg14268557,TRIM27
cg14270612,ABL1
cg14270890,ABL1
cg14272573,AFF1
cg14272822,PTCH1
cg14274357,AKT1
cg14276591,BRD3
cg14278614,CAMTA1
cg14281646,GNAQ
cg14282050,MLLT3
cg14282180,MSH2
cg14283649,PAX5
cg14284907,PLAG1
cg14286665,FBXO11
cg14290904,NKX2-1
cg14292368,CRTC1
cg14293300,OLIG2
cg14295534,NUP214
cg14296331,WHSC1
cg14296488,U2AF1
cg14296561,BIRC3
cg14298589,PTCH1
cg14303017,NOTCH1
cg14303079,TCF12
cg14303330,RPL22
cg14304014,TCF3
cg14304761,SYK
cg14305799,CD274
cg14306812,LPP
cg14306956,PAX5
cg14307214,PTCH1
cg14309246,AKT2
cg14310768,FBXO11
cg14310890,FOXO3
cg14312661,CARS
cg14315805,NRG1
cg14316118,CCDC6
cg14317609,PAX5
cg14319249,PTCH1
cg14320120,GATA1
cg14321365,NUP214
cg14322215,TRIM27
cg14322570,TSC1
cg14323109,KDR
cg14323293,PTCH1
cg14326644,ALK
cg14327531,GATA3
cg14330078,LPP
cg14330655,TET2
cg14331226,FOXO4
cg14334350,NOTCH1
cg14337339,CACNA1D
cg14337900,MYH9
cg14339599,BCL6
cg14340114,POT1
cg14340131,HRAS
cg14344261,PAX5
cg14344486,EGFR
cg14345215,ERBB4
cg14347670,CCND3
cg14349131,NFIB
cg14350545,TSC1
cg14351952,PDCD1LG2
cg14354430,BRD3
cg14357508,KLF6
cg14359052,PRDM1
cg14362370,ABL1
cg14363954,NOTCH1
cg14364472,NOTCH1
cg14373410,TSHR
cg14373456,PDGFRA
cg14374994,PDCD1LG2
cg14377681,ERBB2
cg14380230,PRDM16
cg14383078,PAX5
cg14384228,KDM6A
cg14384532,NTRK3
cg14387452,MLLT3
cg14392677,NOTCH1
cg14394265,FAT1
cg14397799,SND1
cg14397813,GNAQ
cg14398214,RNF43
cg14399850,FGFR3
cg14399851,HLF
cg14400030,BCL7A
cg14400528,HNF1A
cg14403603,NF2
cg14407667,EPS15
cg14408814,MKL1
cg14410964,NOTCH1
cg14414332,CCND2
cg14418115,BCL11A
cg14419393,ASPSCR1
cg14420245,ACVR2A
cg14420982,GNAQ
cg14422782,PML
cg14423157,FUS
cg14424363,IKBKB
cg14424519,SYK
cg14425609,JAK1
cg14425722,ACVR2A
cg14429393,ETV6
cg14429436,RB1
cg14431257,NFIB
cg14434109,BRD3
cg14439102,GNAQ
cg14440664,PDCD1LG2
cg14445389,AFF3
cg14450605,NCOA4
cg14452650,EML4
cg14454094,RAP1GDS1
cg14455139,EP300
cg14455307,BCL2
cg14455366,NFIB
cg14461582,TLX1
cg14462566,ZFHX3
cg14462750,BRD3
cg14464791,DDX6
cg14466506,LPP
cg14466759,CUX1
cg14468007,TCL1A
cg14471181,PSIP1
cg14472181,BRD3
cg14473974,NOTCH1
cg14475702,KLF4
cg14476331,ARID1B
cg14476562,NFIB
cg14479303,NOTCH1
cg14479889,APC
cg14480531,MSI2
cg14481222,BIRC3
cg14483161,ABL1
cg14483856,ABL1
cg14484145,CD74
cg14488715,NOTCH1
cg14488905,NRG1
cg14489159,NF1
cg14489594,FGFR1
cg14490025,TFEB
cg14494733,NOTCH1
cg14499959,DAXX
cg14500569,PTCH1
cg14504418,BIRC3
cg14506140,TET1
cg14511739,APC
cg14513281,CCND1
cg14516243,PRDM16
cg14519598,PAX5
cg14519664,MLLT3
cg14519777,CUX1
cg14522047,CREB3L2
cg14522815,PRDM16
cg14523574,CSF3R
cg14523639,DAXX
cg14524579,STK11
cg14526021,CUX1
cg14527802,TNFAIP3
cg14528979,NOTCH1
cg14533737,ARID1B
cg14536431,ERG
cg14539675,DAXX
cg14543295,KRAS
cg14543527,POLE
cg14544831,BCL2
cg14545899,FAM46C
cg14547067,CREB3L1
cg14548264,NUP214
cg14548611,BRD4
cg14548777,DDX5
cg14549249,CARD11
cg14552010,AFF3
